Word,Frequency
000,1
1,58
100,3
12,3
1500,1
1596,1
15th,3
1646,1
1650,1
1685,1
16th,2
1711,1
1716,1
1724,1
1753,1
1770,1
1804,1
1831,1
1887,1
1912,1
2,12
20,1
2001,1
2004,1
2019,1
3,12
30,1
4,5
5,7
50,1
501,1
5827,1
596,1
6,2
60,1
6221541,1
64,1
7,5
76,1
8,4
801,1
809,1
84116,1
9,3
90,2
_a,56
_a_,5
_absolutely_,1
_acquaintance_,5
_act_,1
_ad,1
_all,1
_all_,5
_almost_,1
_always_,2
_answer_,1
_any_,1
_apparent_,1
_are_,1
_as,1
_asking_,1
_be_,1
_before_,1
_believing_,1
_brotherhood_,1
_cause_,2
_causes_,1
_causing_,1
_certainly_,1
_cogito,1
_coherence_,2
_conceiving_,1
_concept_,1
_connaître_,1
_connected_,1
_constituents_,1
_correspondence,1
_correspondence_,1
_corresponding_,2
_corresponds_,1
_could_,1
_create_,1
_criterion_,1
_criticism_,1
_deduction_,1
_definition_,2
_degree_,1
_derivative_,2
_describe_,1
_description_,3
_directly_,1
_disproved_,1
_diversity_,1
_doubt_,1
_each_,1
_empirical_,1
_enquiry,1
_error_,3
_esse_,1
_ethics_,1
_every,1
_evidence_,1
_exactly_,1
_exist_,3
_existence_,2
_existing_,1
_fact,1
_fact_,2
_false_,2
_falsely_,1
_feeling_,1
_have,1
_here_,1
_his_,2
_i_,1
_if_,4
_immediately_,3
_implies_,1
_in,3
_in_,1
_induction_,1
_instinctive_,1
_intend_,1
_introduction,1
_introspection_,1
_intuitive_,2
_is_,8
_jealousy_,1
_judge_,1
_judgements_,1
_judging_,1
_julius,2
_justice_,2
_kennen_,1
_kind_,1
_know_,5
_knowledge_,2
_known_,2
_light_,2
_likely_,1
_logical_,1
_logically_,2
_look_,1
_man_,3
_may_,1
_mean_,2
_meaning_,2
_meditations_,1
_memory_,2
_men_,1
_mere_,1
_might_,1
_monad_,1
_monadism_,1
_monism_,1
_mortal_,2
_mortality_,1
_must_,6
_new_,1
_no_,1
_not_,2
_now_,1
_object,2
_object_,2
_objects_,3
_of_,3
_one_,1
_only_,2
_order_,2
_our_,1
_particular_,1
_perception_,1
_percipi_,1
_possibility_,1
_possible_,1
_practical_,1
_principle,1
_private_,1
_probable,1
_probable_,2
_probably_,3
_product_,1
_prolegomena,1
_prove_,1
_proved_,1
_qualities_,2
_quite_,1
_reason_,1
_relations_,4
_republic_,1
_resemblance_,1
_round_,1
_savoir_,1
_seems_,1
_self,2
_self_,2
_signs_,1
_similarity_,1
_some_,5
_something_,1
_space_,1
_subject_,1
_subsist_,1
_test_,1
_that_,1
_the,4
_the_,2
_theoretical_,1
_things_,2
_think_,4
_this_,1
_thought_,3
_three,2
_triangularity_,1
_true_,6
_truly_,2
_truth_,1
_truths_,3
_typical_,1
_understand_,1
_universal_,1
_universals_,1
_whiteness_,3
_wissen_,1
a,846
abandon,2
abide,1
able,13
about,90
above,21
abroad,1
absence,2
absent,3
absolute,15
absolutely,3
abstain,1
abstract,10
abstracted,1
abstraction,4
abstractions,1
abstractly,1
absurd,5
absurdities,1
absurdity,3
accept,3
acceptance,1
accepted,4
accepting,4
accepts,1
access,10
accessed,1
accessible,1
accident,1
accidental,1
accidents,1
accompanied,1
accord,1
accordance,6
according,15
account,18
accounted,4
accounting,1
accurate,1
accusative,1
accustomed,2
achieve,1
achieved,4
achieves,1
acquaintance,78
acquainted,71
acquainted_,1
acquiesce,1
acquiescence,1
acquire,5
acquired,2
acquiring,2
acquisition,1
act,19
action,4
actions,2
active,2
activity,1
acts,4
actual,28
actually,10
acute,1
adapts,1
adding,1
addition,8
additional,3
additions,2
address,1
addresses,1
adduced,1
adequacy,1
adequate,2
adequately,1
adjectives,5
admirable,1
admission,2
admit,14
admits,2
admitted,6
admitting,1
admixture,1
adopt,6
advance,4
advanced,3
advances,1
adversaries,1
advocate,1
advocated,6
advocates,1
advocating,1
aeroplanes,2
aesthetic,1
aether,1
af,1
affairs,1
affections,1
affirm,2
affirmative,1
affirmed,2
afford,3
afforded,1
affords,2
after,9
afterwards,2
again,15
against,14
age,4
aged,1
agent,1
ago,6
agree,12
agreeably,1
agreed,5
agreement,19
aim,1
aimed,1
aims,3
air,5
akin,1
alien,1
alive,2
all,231
allow,2
allowed,1
allowing,1
allows,1
almost,17
alone,11
along,6
already,14
also,51
alter,2
alteration,1
altered,1
alternate,1
alternatives,1
alters,1
although,28
altogether,5
always,26
am,33
ambiguity,3
ambiguous,6
ambitious,1
amend,1
among,22
amount,4
amply,1
an,141
analogous,1
analyse,1
analyses,1
analysing,2
analysis,8
analytic,6
anatomist,1
and,1036
angles,3
animal,1
animals,6
announce,2
announcement,1
announces,2
another,26
answer,27
answered,2
answering,3
answers,11
anticipate,1
anticipating,1
anticipation,1
antithesis,3
anxious,2
any,206
anybody,3
anybody's,1
anyone,5
anything,40
anywhere,3
apart,10
apparent,13
apparently,2
appeal,4
appealing,2
appear,16
appearance,15
appearances,1
appeared,5
appearing,1
appears,17
appetite,1
applicable,12
application,1
applications,3
applied,1
applies,17
apply,9
applying,2
apportions,1
apprehend,3
apprehended,10
apprehending,2
apprehends,1
apprehension,3
approach,5
approaches,1
approaching,1
apt,5
archive,13
arduous,1
are,493
argue,5
argued,2
argues,1
arguing,1
argument,26
arguments,16
arise,9
arises,4
arithmetic,11
arithmetical,3
arm,3
arose,1
arrange,1
arranged,2
arrangement,3
array,1
arrive,7
arrived,1
arriving,1
arrogant,1
artificial,1
as,548
ascertain,2
ascertainable,2
ascertained,1
ascii,2
ask,12
asked,4
asking,3
asks,1
aspect,2
assassinated,1
assent,2
assented,1
assert,7
asserted,2
asserting,3
assertion,6
asserts,7
assigns,1
assimilate,1
assist,1
assistance,3
associate,2
associated,23
association,10
associations,2
assume,10
assumed,4
assumes,3
assuming,6
assumption,2
assumptions,1
assurance,1
assure,1
assured,1
astray,1
astronomy,2
astute,4
at,169
ate,1
atheists_,1
atoms,1
attach,2
attached,1
attack,1
attain,1
attainable,1
attained,3
attempt,16
attempted,2
attempts,4
attendant,2
attention,5
attested,1
attitude,1
attributing,1
author,1
available,2
avoid,5
avoided,1
avoiding,1
aware,24
awareness,3
away,7
axioms,3
b,26
babies,1
back,5
backward,1
backwards,1
bad,3
bald,3
baldness,1
balfour,2
balloons,2
banging,1
bannerman,1
bar,1
bare,2
barrier,1
based,14
basis,8
battle,3
be,657
bear,2
bearing,2
became,1
because,58
become,36
becomes,19
becoming,1
bed,1
beech,10
been,76
before,40
beg,1
began,6
begging,1
begin,18
beginner,1
beginning,4
begins,2
begs,1
begun,1
behave,1
behaviour,1
behind,2
being,64
being_,1
beings,6
beleagured,1
belief,99
belief_,1
beliefs,50
believe,47
believed,13
believes,18
believing,23
bell,1
bells,2
belong,3
belongs,9
below,4
berkeley,21
berkeley's,5
bertrand,3
besides,4
best,6
better,6
between,76
bewildering,1
beyond,14
bibliographical,1
bid,1
bigger,1
binary,1
binds,1
bishop,2
bismarck,15
bismarck's,1
black,2
blank,1
blind,13
blue,9
bodies,8
body,25
bolder,1
bone,1
books,4
bored,1
born,4
borne,1
both,24
bought,2
bound,3
boundaries,2
bounds,1
bradley,1
brain,2
breach,2
bread,2
breakfast,3
brick,1
brief,1
briefest,1
briefly,5
brighter,1
brightness,1
bring,3
brings,2
british,1
broadly,4
broken,1
brought,4
brown,14
build,1
builder,1
buildings,1
built,2
business,6
but,304
buy,2
by,343
c,6
c's,1
c3,1
caesar,4
caesar_,2
calculate,1
calculated,1
call,28
called,49
calling,2
calls,5
calm,1
calmly,2
came,3
campbell,1
camps,1
can,219
candid,1
candidate,7
candidates,2
cannot,89
cantor,1
capable,16
card,1
care,6
careful,1
carefully,2
carelessly,1
carry,1
case,67
cases,39
cassio,28
cat,5
catalogue,1
catalogued,1
catching,1
categories,1
causality,2
cause,17
caused,5
causes,6
causing,1
cease,4
ceased,4
ceases,5
cement,3
centuries,1
century,1
certain,91
certainly,9
certainty,32
cf,1
chair,2
chairs,2
challenged,2
chance,1
chancellor,4
change,5
changeable,1
changed,1
changes,1
changing,2
chapter,47
chapters,5
character,5
characteristic,6
characteristics,9
characters,2
charge,6
charges,2
charitable,1
charities,1
charles,5
check,4
checks,1
chicken,4
chief,6
chiefly,2
child,1
chimaera,1
chime,3
china,2
choice,1
choose,3
chosen,1
circle,4
circular,4
circumstances,6
citizens,1
citizenship,1
city,2
claim,5
clash,1
clashes,1
class,5
clean,1
clear,14
clearer,2
clearly,3
clock,1
close,2
closed,1
closely,2
closer,1
closes,1
cloth,3
clouds,1
co,1
coalesce,1
codes,1
coexistence,3
cohere,1
coherence,8
coherent,8
coin,1
coins,1
collection,14
collections,3
collective,1
colony,1
colour,58
colours,12
combination,1
combine,1
combined,2
come,22
comes,9
coming,1
commentators,2
commercial,1
commit,1
committed,2
common,36
commonest,2
commonly,10
communicate,1
community,1
comparative,1
compare,1
compared,1
comparing,1
comparison,3
compelled,5
competent,1
compilation,1
complement,1
complete,6
completed,1
completely,10
complex,33
compliance,5
complicated,3
comply,6
complying,3
composed,6
compressed,1
computer,2
computers,2
conceded,2
conceivable,1
conceivably,1
concentrate,1
concept,2
conception,5
concepts,2
concern,4
concerned,16
concerning,38
concerns,3
concluded,1
conclusion,17
conclusions,2
concourse,1
concrete,3
condemns,1
condition,2
conditions,4
conduct,1
confess,1
confidence,3
confident,2
confine,1
confined,6
confining,1
confirm,2
confirmation,1
confirmed,1
confirms,1
conflict,1
conform,3
conformity,1
confused,1
confusing,1
confusion,8
confusions,1
confute,1
conjecture,1
connected,11
connecting,1
connects,1
connexion,19
connexions,3
conscious,3
consciously,2
consciousness,8
consent,1
consequences,1
consequential,1
consequently,1
consider,33
considerable,3
consideration,7
considerations,2
considered,14
considering,12
considers,2
consist,4
consisted,1
consisting,3
consists,21
constant,5
constantly,6
constituency,4
constituent,4
constituents,9
constitute,6
constituted,6
constitutes,5
constituting,1
constitution,2
construct,1
constructed,1
constructing,1
constructions,1
constructive,1
contact,7
contain,10
contained,2
containing,3
contains,4
contemplated,1
contemplates,3
contemplating,1
contemplation,13
contemplative,1
contemptuously,1
contended,1
content,2
contention,1
contentions,1
contents,3
context,2
continental,1
continual,2
continue,6
continued,1
continues,6
continuing,1
continuous,1
continuously,1
contract,1
contradict,1
contradiction,19
contradiction_,1
contradictions,5
contradictory,5
contrary,14
contrast,1
contributed,1
contribution,1
contributions,2
control,2
controversies,2
controversy,2
convenient,1
converged,1
conversation,1
conversely,2
convert,1
convey,2
convictions,3
convinced,2
convincing,1
cool,1
copied,2
copies,7
copy,12
copying,4
copyright,20
corporation,1
correct,4
correctly,2
correlative,1
correspond,8
corresponded,1
correspondence,10
corresponding,12
corresponds,5
corrupt,1
cost,3
costs,2
could,57
counterparts,1
countless,1
countries,1
country,4
couple,3
couples,7
couples_,1
course,18
cranny,1
create,3
created,4
creates,1
creating,4
creation,1
credit,2
criterion,1
critical,6
critically,2
criticism,8
criticisms,1
criticized,1
crude,4
crudely,1
current,1
custom,1
customary,1
cut,2
cutting,1
d,3
daily,8
damage,2
damaged,1
damages,4
danger,1
dark,3
data,138
date,3
dates,1
datum,23
day,9
days,5
dead,2
deal,6
dealing,7
deals,3
dealt,6
death,2
debate,1
debated,1
deceitful,1
deceive,1
december,1
deceptive,1
decide,3
decided,3
decides,1
deciding,1
decision,1
declared,1
deduce,5
deduced,18
deducible,2
deducing,1
deductible,1
deduction,5
deductions,3
deeds,1
