Word,Frequency,Probability
000,1,0.00005
1,58,0.00267
100,3,0.00014
12,3,0.00014
1500,1,0.00005
1596,1,0.00005
15th,3,0.00014
1646,1,0.00005
1650,1,0.00005
1685,1,0.00005
16th,2,0.00009
1711,1,0.00005
1716,1,0.00005
1724,1,0.00005
1753,1,0.00005
1770,1,0.00005
1804,1,0.00005
1831,1,0.00005
1887,1,0.00005
1912,1,0.00005
2,12,0.00055
20,1,0.00005
2001,1,0.00005
2004,1,0.00005
2019,1,0.00005
3,12,0.00055
30,1,0.00005
4,5,0.00023
5,7,0.00032
50,1,0.00005
501,1,0.00005
5827,1,0.00005
596,1,0.00005
6,2,0.00009
60,1,0.00005
6221541,1,0.00005
64,1,0.00005
7,5,0.00023
76,1,0.00005
8,4,0.00018
801,1,0.00005
809,1,0.00005
84116,1,0.00005
9,3,0.00014
90,2,0.00009
_a,56,0.00258
_a_,5,0.00023
_absolutely_,1,0.00005
_acquaintance_,5,0.00023
_act_,1,0.00005
_ad,1,0.00005
_all,1,0.00005
_all_,5,0.00023
_almost_,1,0.00005
_always_,2,0.00009
_answer_,1,0.00005
_any_,1,0.00005
_apparent_,1,0.00005
_are_,1,0.00005
_as,1,0.00005
_asking_,1,0.00005
_be_,1,0.00005
_before_,1,0.00005
_believing_,1,0.00005
_brotherhood_,1,0.00005
_cause_,2,0.00009
_causes_,1,0.00005
_causing_,1,0.00005
_certainly_,1,0.00005
_cogito,1,0.00005
_coherence_,2,0.00009
_conceiving_,1,0.00005
_concept_,1,0.00005
_connaître_,1,0.00005
_connected_,1,0.00005
_constituents_,1,0.00005
_correspondence,1,0.00005
_correspondence_,1,0.00005
_corresponding_,2,0.00009
_corresponds_,1,0.00005
_could_,1,0.00005
_create_,1,0.00005
_criterion_,1,0.00005
_criticism_,1,0.00005
_deduction_,1,0.00005
_definition_,2,0.00009
_degree_,1,0.00005
_derivative_,2,0.00009
_describe_,1,0.00005
_description_,3,0.00014
_directly_,1,0.00005
_disproved_,1,0.00005
_diversity_,1,0.00005
_doubt_,1,0.00005
_each_,1,0.00005
_empirical_,1,0.00005
_enquiry,1,0.00005
_error_,3,0.00014
_esse_,1,0.00005
_ethics_,1,0.00005
_every,1,0.00005
_evidence_,1,0.00005
_exactly_,1,0.00005
_exist_,3,0.00014
_existence_,2,0.00009
_existing_,1,0.00005
_fact,1,0.00005
_fact_,2,0.00009
_false_,2,0.00009
_falsely_,1,0.00005
_feeling_,1,0.00005
_have,1,0.00005
_here_,1,0.00005
_his_,2,0.00009
